gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,1.000000,1.000000,reliant,CORPUS-BOUND
a0.25,1.000000,1.000000,reliant,CORPUS-BOUND
a0.3,1.000000,1.000000,reliant,CORPUS-BOUND
a0.35,0.946700,0.946700,reliant,CORPUS-BOUND
a0.4,0.826700,0.826700,reliant,CORPUS-BOUND
a0.45,0.653300,0.653300,reliant,CORPUS-BOUND
a0.5,0.466700,0.466700,reliant,INCONCLUSIVE
a0.55,0.320000,0.320000,reliant,INCONCLUSIVE
a0.6,0.146700,0.146700,independent,LEAKING
a0.65,0.053300,0.053300,independent,LEAKING
a0.7,0.053300,0.053300,independent,LEAKING
a0.75,0.053300,0.053300,independent,LEAKING
a0.8,0.053300,0.053300,independent,LEAKING
a0.85,0.026700,0.026700,independent,LEAKING
a0.9,0.040000,0.040000,independent,LEAKING
a0.95,0.040000,0.040000,independent,LEAKING
a1,0.040000,0.040000,independent,LEAKING
