gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,0.960000,0.960000,reliant,CORPUS-BOUND
a0.05,0.960000,0.960000,reliant,CORPUS-BOUND
a0.1,0.986700,0.986700,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,1.000000,1.000000,reliant,CORPUS-BOUND
a0.25,0.893300,0.893300,reliant,CORPUS-BOUND
a0.3,0.680000,0.680000,reliant,CORPUS-BOUND
a0.35,0.440000,0.440000,reliant,CORPUS-BOUND
a0.4,0.253300,0.253300,reliant,CORPUS-BOUND
a0.45,0.146700,0.146700,independent,LEAKING
a0.5,0.040000,0.040000,independent,LEAKING
a0.55,0.000000,0.000000,independent,LEAKING
a0.6,0.000000,0.000000,independent,LEAKING
a0.65,0.000000,0.000000,independent,LEAKING
a0.7,0.000000,0.000000,independent,LEAKING
a0.75,0.000000,0.000000,independent,LEAKING
a0.8,0.000000,0.000000,independent,LEAKING
a0.85,0.000000,0.000000,independent,LEAKING
a0.9,0.000000,0.000000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.000000,0.000000,independent,LEAKING
