gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,0.946700,0.946700,reliant,CORPUS-BOUND
a0.05,0.946700,0.946700,reliant,CORPUS-BOUND
a0.1,0.960000,0.960000,reliant,CORPUS-BOUND
a0.15,0.960000,0.960000,reliant,CORPUS-BOUND
a0.2,0.960000,0.960000,reliant,CORPUS-BOUND
a0.25,0.960000,0.960000,reliant,CORPUS-BOUND
a0.3,0.933300,0.933300,reliant,CORPUS-BOUND
a0.35,0.800000,0.800000,reliant,CORPUS-BOUND
a0.4,0.706700,0.706700,reliant,CORPUS-BOUND
a0.45,0.653300,0.653300,reliant,CORPUS-BOUND
a0.5,0.466700,0.466700,reliant,CORPUS-BOUND
a0.55,0.266700,0.266700,reliant,CORPUS-BOUND
a0.6,0.200000,0.200000,reliant,INCONCLUSIVE
a0.65,0.093300,0.093300,independent,LEAKING
a0.7,0.053300,0.053300,independent,LEAKING
a0.75,0.053300,0.053300,independent,LEAKING
a0.8,0.040000,0.040000,independent,LEAKING
a0.85,0.026700,0.026700,independent,LEAKING
a0.9,0.000000,0.000000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.000000,0.000000,independent,LEAKING
