gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,1.000000,1.000000,reliant,CORPUS-BOUND
a0.25,1.000000,1.000000,reliant,CORPUS-BOUND
a0.3,1.000000,1.000000,reliant,CORPUS-BOUND
a0.35,1.000000,1.000000,reliant,CORPUS-BOUND
a0.4,1.000000,1.000000,reliant,CORPUS-BOUND
a0.45,0.986700,0.986700,reliant,CORPUS-BOUND
a0.5,0.920000,0.920000,reliant,CORPUS-BOUND
a0.55,0.706700,0.706700,reliant,CORPUS-BOUND
a0.6,0.466700,0.466700,reliant,INCONCLUSIVE
a0.65,0.293300,0.293300,reliant,LEAKING
a0.7,0.186700,0.186700,reliant,LEAKING
a0.75,0.106700,0.106700,independent,LEAKING
a0.8,0.026700,0.026700,independent,LEAKING
a0.85,0.026700,0.026700,independent,LEAKING
a0.9,0.000000,0.000000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.000000,0.000000,independent,LEAKING
